"","Village_ID","Tree_number","Tree_type","Date_of_observation","Day","Month","Year","Date_of_shaving","Camera_number","Tree_coordinates_east","Tree_coordinates_west","In_H","In_M","In_S","Out_H","Out_M","Out_S","DurStayT","DurContT","Way","Con_place","P_NP","Comments","Number_of_visits","Number_of_stays","Number_of_contaminations","AM_PM"
"1",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,19,54,6,19,55,1,0,0,0,2,NA,1,0,0,"PM"
"2",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,20,35,6,20,36,1,0,0,0,2,NA,1,0,0,"PM"
"3",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,24,17,6,24,18,1,0,0,0,2,NA,1,0,0,"PM"
"4",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,30,22,6,30,23,1,0,0,0,2,NA,1,0,0,"PM"
"5",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,31,15,6,31,16,1,0,0,0,2,NA,1,0,0,"PM"
"6",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,35,26,6,35,27,1,0,0,0,2,NA,1,0,0,"PM"
"7",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,35,35,6,35,37,2,1,2,1,2,NA,1,1,1,"PM"
"8",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,35,49,6,35,50,1,0,0,0,2,NA,1,0,0,"PM"
"9",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,37,7,6,37,8,1,0,0,0,1,NA,1,0,0,"PM"
"10",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,38,13,6,38,14,1,0,0,0,1,NA,1,0,0,"PM"
"11",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,39,15,6,39,16,1,0,0,0,1,NA,1,0,0,"PM"
"12",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,39,25,6,40,59,94,93,2,1,1,NA,1,1,1,"PM"
"13",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,46,39,6,47,12,33,32,2,1,1,NA,1,1,1,"PM"
"14",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,49,47,6,49,48,1,0,0,0,2,NA,1,0,0,"PM"
"15",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,50,56,6,50,57,1,0,0,0,1,NA,1,0,0,"PM"
"16",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,51,1,6,51,13,12,11,2,1,1,NA,1,1,1,"PM"
"17",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,51,44,6,51,46,2,1,2,1,1,NA,1,1,1,"PM"
"18",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",6,52,30,6,55,37,187,186,2,1,1,NA,1,1,1,"PM"
"19",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,12,22,7,12,23,1,0,0,0,2,NA,1,0,0,"PM"
"20",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,13,27,7,13,28,1,0,0,0,2,NA,1,0,0,"PM"
"21",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,13,35,7,15,28,113,112,2,1,1,NA,1,1,1,"PM"
"22",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,16,15,7,16,16,1,0,0,0,2,NA,1,0,0,"PM"
"23",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,16,30,7,19,4,154,153,2,1,1,NA,1,1,1,"PM"
"24",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,19,21,7,22,21,180,179,2,1,1,NA,1,1,1,"PM"
"25",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,22,18,7,23,18,60,59,2,1,1,NA,1,1,1,"PM"
"26",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,28,27,7,28,27,0,0,2,1,1,NA,1,0,0,"PM"
"27",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,42,29,7,42,31,2,1,2,1,1,NA,1,1,1,"PM"
"28",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,42,56,7,42,56,2,1,2,1,1,NA,1,1,1,"PM"
"29",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,45,12,7,45,13,1,0,0,0,2,NA,1,0,0,"PM"
"30",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,45,32,7,45,34,2,1,2,1,1,NA,1,1,1,"PM"
"31",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,45,42,7,45,48,6,5,2,1,1,NA,1,1,1,"PM"
"32",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,46,47,7,46,53,6,5,2,1,1,NA,1,1,1,"PM"
"33",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,46,53,7,46,55,2,1,2,1,1,NA,1,1,1,"PM"
"34",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,46,57,7,46,58,1,0,2,1,2,NA,1,0,0,"PM"
"35",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,47,2,7,47,6,4,3,2,1,1,NA,1,1,1,"PM"
"36",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,47,23,7,47,25,2,1,2,1,1,NA,1,1,1,"PM"
"37",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,49,29,7,50,10,41,40,2,1,1,NA,1,1,1,"PM"
"38",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,53,56,7,57,7,191,190,2,1,1,NA,1,1,1,"PM"
"39",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",7,57,44,7,57,46,2,1,2,1,2,NA,1,1,1,"PM"
"40",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,0,1,8,6,51,410,409,2,1,1,NA,1,1,1,"PM"
"41",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,7,6,8,9,19,133,132,2,1,1,NA,1,1,1,"PM"
"42",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,10,14,8,10,15,1,0,0,0,2,NA,1,0,0,"PM"
"43",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,24,38,8,24,39,1,0,0,0,2,NA,1,0,0,"PM"
"44",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,24,50,8,24,51,1,0,0,0,2,NA,1,0,0,"PM"
"45",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,25,54,8,28,2,128,127,2,1,1,NA,1,1,1,"PM"
"46",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,29,23,8,29,42,19,18,2,1,2,NA,1,1,1,"PM"
"47",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,29,40,8,31,8,88,87,2,1,1,NA,1,1,1,"PM"
"48",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,31,18,8,32,17,59,58,2,1,2,NA,1,1,1,"PM"
"49",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,31,33,8,31,34,1,0,0,0,1,NA,1,0,0,"PM"
"50",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,31,42,8,31,43,1,0,0,0,2,NA,1,0,0,"PM"
"51",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,32,0,8,32,2,2,1,0,0,1,NA,1,1,0,"PM"
"52",1005,"1005.DPT002","Date palm","13.01.12",13,1,2012,NA,"5","23.03665","90.25491",8,34,36,8,34,38,2,1,2,1,1,NA,1,1,1,"PM"
